algorithm,dataset_size,val_loss,train_loss,test_loss,test_acc,worst_group_acc,seed,cmnist_attr_prob,cmnist_spur_prob,"group_y=0,a=0_acc","group_y=0,a=1_acc","group_y=1,a=0_acc","group_y=1,a=1_acc"
GroupDRO,10,0.35691601641570464,0.06387636768864467,1.2052111167875037,0.50655,0.0,0,0.5,0.1,1.0,0.060023310023310024,0.0,0.962457337883959
GroupDRO,37,0.3503135786026339,0.1890245907823555,1.1263900484128808,0.50015,0.007964257964257964,0,0.5,0.1,0.9757358790771679,0.007964257964257964,0.01961594053272765,0.9959847420196748
GroupDRO,144,0.2896453047854991,0.19919389000084872,0.9473346268060361,0.6191,0.14247367334296923,0,0.5,0.1,0.9797136038186157,0.3842268842268842,0.14247367334296923,0.9612527604898615
GroupDRO,547,0.27487470417083065,0.24286794910546053,0.8310427801439473,0.67975,0.3586619863720834,0,0.5,0.1,0.9544550517104217,0.45454545454545453,0.3586619863720834,0.9474001204577394
GroupDRO,2080,0.21007797829335248,0.27025855210506255,0.46744991203912734,0.82115,0.682012432012432,0,0.5,0.1,0.95266507557677,0.682012432012432,0.6906875903365682,0.9590443686006825
GroupDRO,7899,0.10686708732119089,0.16332050659198957,0.2606938945708233,0.90825,0.8325418129258724,0,0.5,0.1,0.9747414478918058,0.8550893550893551,0.8325418129258724,0.9696848022485445
GroupDRO,30000,0.0703181146962356,0.13064454366053554,0.1488077717962951,0.9498,0.9141414141414141,0,0.5,0.1,0.9821002386634845,0.9141414141414141,0.9217427214536444,0.9813290503914877
ERM,10,0.3718068109282964,0.11097157479130797,1.278292181215164,0.51165,0.0,0,0.5,0.1,1.0,0.07051282051282051,0.0,0.9720939570367396
ERM,37,0.33308084478861166,0.23200793632616598,1.153709494189022,0.50045,0.0,0,0.5,0.1,1.0,0.0,0.0,1.0
ERM,144,0.29493129989014394,0.2158724763058126,1.1031549833947762,0.5285,0.012389015073301672,0,0.5,0.1,0.9978122513922036,0.10081585081585082,0.012389015073301672,0.9985946597068862
ERM,547,0.2563606798648834,0.19398892413681515,0.9743427337013755,0.6272,0.19450753665083625,0,0.5,0.1,0.9888623707239459,0.33760683760683763,0.19450753665083625,0.9821321019875527
ERM,2080,0.18425745507584343,0.1582696867254326,0.646025375617942,0.74685,0.43072475738178817,0,0.5,0.1,0.9862768496420048,0.5876068376068376,0.43072475738178817,0.9771130295121462
ERM,7899,0.10247515823361994,0.10480354151919898,0.35867875041066855,0.872,0.7441668387363205,0,0.5,0.1,0.9892601431980907,0.7684537684537684,0.7441668387363205,0.9849427825737803
ERM,30000,0.05899878791710244,0.06915269338452232,0.23596406794417477,0.92325,0.85003885003885,0,0.5,0.1,0.994431185361973,0.85003885003885,0.8571133594879207,0.9913671953423008
